Time,A0_1,A0_2,A0_3,A0_4,A0_5,A0_6,A10_1,A10_2,A10_3,A10_4,A10_5,A10_6,A100_1,A100_2,A100_3,A100_4,A100_5,A100_6,A1000_1,A1000_2,A1000_3,A1000_4,A1000_5,A1000_6
0:41:13,15316,15806,15979,15745,15574,15459,15840,15305,15557,15529,15529,15270,15744,15616,16061,15821,15842,15774,14708,14920,14663,14595,14092,14458
1:01:13,15727,15882,15854,15758,15385,15730,15822,15506,15903,15411,15177,15199,15887,15751,15907,15919,16265,15381,14759,14812,14691,14515,14302,14556
1:21:13,15827,15960,16010,16118,15502,15616,15714,15609,15615,15517,15459,15323,15500,15839,16049,15789,15837,15731,14729,14792,14846,14639,14159,14560
1:41:13,16076,15805,16084,15918,15751,15704,16092,15685,15784,15538,15669,15342,15781,15735,16150,15980,15991,15706,14686,14857,14843,14683,14500,14399
2:01:13,15991,15827,16354,16016,15832,15834,15977,15876,15966,15554,15582,15496,15596,15952,16183,16045,16201,15887,14668,14957,14940,14589,14468,14657
2:21:13,16001,16274,16203,16214,16001,15951,16150,15840,15952,15615,15802,15533,15742,15739,16038,16013,16139,15776,14718,14877,14880,14747,14130,14510
2:41:13,16449,16111,16452,16206,16149,15870,16172,15941,15991,15657,15777,15406,15873,15765,16466,15919,16066,15700,14787,14812,15080,14609,14442,14475
3:01:13,16321,16416,16400,16461,16508,16043,16283,15842,16080,15843,15852,15547,15912,16017,16001,16174,16163,15841,14925,14996,14959,14636,14376,14625
3:21:13,16600,16514,16571,16593,16307,16372,16371,16031,15950,15700,15853,15395,15732,15912,16137,16062,16339,15703,14927,14875,15178,14903,14375,14647
3:41:13,16819,16586,16981,16913,16472,16435,16597,15932,15991,15928,15770,15352,15690,15856,16042,16108,16177,15910,14822,15028,15103,14747,14404,14921
4:01:13,17072,17246,17289,17121,16890,16613,16244,15761,16055,15845,15812,15680,15931,15826,16197,16186,16226,15989,14981,14938,15023,14783,14325,14708
4:21:13,17337,17194,17240,17376,16987,16891,16394,15989,16323,16022,15954,15601,15966,16153,16337,16333,16152,16020,14995,15106,15288,14641,14529,14740
4:41:13,17408,17492,17492,17456,17348,17130,16494,15861,16254,16004,16056,15427,15799,16047,16357,16069,16288,15923,15191,15123,15112,14713,14643,14842
5:01:13,18034,17456,17798,17761,17398,17244,16340,16038,16236,15890,15864,15692,15994,16104,16311,15888,16431,15925,14977,15274,15038,14831,14617,15064
5:21:13,18264,18152,18210,18096,18038,17714,16236,16009,16091,16084,15915,15678,16298,16170,16574,16231,16483,15921,15363,15277,15140,14955,14747,14726
5:41:13,18303,18202,18213,18019,18128,17817,16216,16142,16035,15815,16016,15511,16094,16045,16211,16151,16473,16061,14949,15189,15076,14792,14621,14716
6:01:13,18827,18399,18510,18372,18274,18119,16027,15835,16101,15703,15954,15454,15856,16215,16218,16256,16329,15866,15167,15241,15253,14845,14297,14729
6:21:13,18921,18562,18726,18651,18546,18563,16229,16006,16132,15914,15887,15690,16022,16083,16405,15999,16498,16034,14932,15203,15036,15022,14463,14881
6:41:13,19165,19010,19130,18874,18724,18813,16396,16071,16018,15828,15973,15448,16076,16055,16448,16243,16372,15976,15249,15287,15106,15162,14539,14943
7:01:13,19314,19152,19161,19112,19106,18941,16351,15919,16018,15858,15901,15614,16019,16122,16522,16255,16493,15934,15083,15157,15193,14796,14832,14953
7:21:13,19585,19357,19413,19518,19391,19091,16370,16044,16298,15962,16002,15779,16177,16088,16510,16247,16493,16219,15023,15285,15349,14565,14580,15025
7:41:13,19832,19864,19833,19881,19829,19277,16470,16025,16077,16131,16056,15685,15998,16250,16636,16440,16517,16040,15190,15263,15315,14861,14697,14992
8:01:13,19964,20035,20121,19910,19998,19834,16432,16010,16140,16069,15994,15611,16041,16209,16460,16276,16511,15991,15109,15283,15323,14894,14566,14805
8:21:13,20270,19865,20364,20409,20291,20003,16441,16162,16253,16022,15850,15666,16154,16206,16494,16364,16219,16127,15172,15599,15316,14981,14515,15050
8:41:13,20301,20381,20127,20026,20285,20054,16767,16310,16414,16245,16085,15846,16094,16131,16482,16483,16362,16012,15271,15287,15427,14714,14576,15045
9:01:13,20593,20436,20464,20564,20785,20453,16785,16529,16508,16177,16475,16158,16318,16225,16625,16498,16885,16198,15302,15603,15392,15136,14715,15064
9:21:13,20714,20574,20622,20638,20725,20324,16814,16196,16636,16410,16529,15973,16334,16439,16611,16389,16491,16085,15389,15577,15121,15109,14908,15160
9:41:13,20921,20781,20763,20882,20927,20371,16905,16550,16767,16362,16467,16195,16420,16329,16601,16166,16598,16368,15388,15372,15371,14945,14912,14994
10:01:13,20810,20856,20731,20702,21159,20668,17266,16525,16714,16552,16665,16402,16311,16354,16415,16499,16696,16133,15324,15413,15433,15293,14753,15105
10:21:13,20988,20648,20881,21160,21186,20736,17172,16683,17027,16763,16556,16419,16133,16354,16720,16334,16524,16311,15381,15583,15447,15091,14671,14997
10:41:13,20949,20627,20696,20645,20963,20748,17192,17074,17097,16863,17007,16523,16400,16395,16544,16324,16649,16314,15344,15458,15372,15179,14777,15178
11:01:13,21127,20804,20703,20648,20785,20544,17195,16925,17281,16745,16927,16469,16392,16228,16747,16333,16447,16255,15283,15387,15732,15110,14795,14977
11:21:13,21016,20944,20826,21088,21171,21018,17773,17108,17420,17126,17192,16699,16509,16292,16782,16446,16704,16363,15618,15707,15418,14953,14890,14961
11:41:13,21105,20986,21098,21121,21275,21290,17684,17174,17555,17035,17326,17023,16407,16443,16992,16793,16669,16227,15340,15767,15455,15319,15006,15279
12:01:13,21155,20880,21212,21206,21441,20977,17570,17192,17526,17086,17351,17005,16522,16595,16796,16567,16725,16489,15314,15628,15494,15128,14789,15117
12:21:13,21302,21307,21241,21443,21531,21217,17889,17734,17654,17483,17471,17207,16749,16876,16878,16613,16828,16396,15407,15694,15629,15159,14820,15068
12:41:13,21593,21361,21364,21718,21875,21089,17794,17483,17872,17618,17887,17373,16929,16504,17226,16756,16884,16698,15410,15466,15526,15066,15069,15138
13:01:13,21502,21684,21635,21566,22003,21580,17876,17398,17992,17703,17630,17236,16958,16660,17021,16696,16805,16484,15222,15673,15436,15214,14667,15108
13:21:13,21794,21448,21908,22050,22217,21533,17820,17544,17871,17466,17724,17264,16859,16959,17274,16717,16829,16474,15546,15590,15354,15319,14723,15105
13:41:13,21978,21943,21893,22120,22345,21748,18308,17498,17840,17393,17785,17216,16989,17119,17079,16796,17012,16592,15480,15522,15490,15154,14782,15086
14:01:13,22023,22016,21978,22400,22478,22064,18058,17490,17964,17597,18037,17330,17013,17120,17454,16962,17298,16667,15356,15605,15548,15147,14896,15235
14:21:13,22335,22176,22191,22449,22529,22113,18250,17726,18078,17569,17864,17380,17177,16931,17242,17122,17357,16798,15385,15549,15483,15154,14931,15144
14:41:13,22566,22287,22263,22738,22814,22153,18340,17716,17974,17646,17867,17362,17320,17294,17417,17322,17303,16994,15450,15636,15480,15280,14944,15123
15:01:13,22516,22590,22542,22374,23169,22624,18128,17738,18070,17801,17843,17478,17155,17282,17605,17292,17357,17074,15517,15867,15642,15216,14735,15222
15:21:13,22356,22647,22431,22746,23066,22625,18198,17715,18298,17805,17908,17532,17117,17254,17593,17285,17528,17133,15311,15509,15665,15040,14894,15205
15:41:13,22736,22943,23036,22969,23397,22773,18576,17961,18332,17788,18334,17517,17297,17208,17878,17494,17583,17228,15301,15545,15485,15194,14926,15193
16:01:13,23086,22872,22932,23191,23245,22939,18549,18056,18533,17963,18422,17916,17229,17286,17778,17424,17589,17208,15232,15621,15549,15167,15034,15299
16:21:13,23109,22951,23188,23209,23482,22670,18798,18298,18438,18277,18653,18011,17568,17312,17640,17478,17710,17230,15327,15823,15665,15315,15114,15192
16:41:13,23051,23148,23430,23655,23546,23052,18855,18284,18560,18175,18510,18009,17641,17464,17907,17602,17665,17250,15417,15856,15600,15142,14861,15050
17:01:13,23580,23652,23405,23636,24082,23255,18713,18137,18474,18363,18987,18124,17575,17417,17758,17330,17867,17277,15298,15676,15589,15247,15026,15094
17:21:13,23535,23884,23696,23807,24094,23504,18974,18367,18726,18428,19075,18447,17200,17521,17842,17496,17653,17582,15453,15836,15502,15177,14772,15290
17:41:13,23569,23890,23904,24054,24466,23633,19058,18616,18968,18504,18891,18323,17762,17644,17788,17576,17904,17485,15522,15750,15593,15233,14888,15271
18:01:13,24064,23955,23838,24023,24694,23929,19100,18730,19139,18452,19176,18392,17338,17672,17900,17802,18131,17438,15511,15653,15606,15105,14902,15267
18:21:13,23864,23984,23867,24527,24439,24093,19222,18747,19086,18622,19521,18400,17712,17690,17762,17849,17948,17384,15566,15654,15688,15422,14994,15273
18:41:13,24330,24148,24173,24608,24815,24410,19398,18892,19096,18849,19310,18797,18011,17444,17912,17743,17768,17730,15403,15886,15624,15139,14979,15361
19:01:13,24382,24268,24345,24393,24971,24516,19430,19085,19440,18728,19286,18755,17628,17798,17970,17789,18042,18018,15719,15878,15869,15101,14953,15286
19:21:13,24655,24415,24572,24840,25087,24724,19470,19390,19266,19224,19678,18871,17763,17571,18051,17637,17944,17711,15694,15783,15790,15320,15082,15071
19:41:13,24776,24649,24924,25140,25052,24741,19773,19168,19572,19083,19687,19212,17965,17689,17980,17859,18129,17643,15721,15722,15781,15414,15083,15410
20:01:13,24674,24821,24937,24996,25282,24790,19620,19384,19582,19266,19885,19131,17904,17543,18084,17930,18002,17727,15558,15990,15802,15417,14961,15240
20:21:13,25017,24915,24676,25450,25393,24890,20071,19422,19987,19403,20001,19269,17985,17743,18298,17793,18059,17731,15625,16005,15702,15558,14974,15183
20:41:13,25121,25191,24910,25320,25567,24805,20046,19488,19988,19310,20077,19468,17929,18013,18370,17927,18268,17625,15734,15817,15553,15381,15013,15293
21:01:13,25021,25235,24881,25320,25419,25260,20129,19533,19611,19657,20262,19659,18094,17868,18285,17869,18038,17852,15684,16006,15763,15464,15010,15182
21:21:13,25017,25268,25184,25664,25649,25242,20312,19728,19960,19734,20125,19691,18063,17768,18511,18312,18262,17977,15976,15800,15820,15479,15149,15179
21:41:13,25349,25202,25263,25686,25947,25242,20566,19820,20338,20011,20299,19829,18319,18033,18405,17829,18183,18009,15593,15935,15649,15553,14901,15393
22:01:13,25214,25161,25469,25856,26039,25575,20414,19769,20431,19849,20478,19772,18401,18111,18357,17963,18502,18223,15608,16120,15840,15449,15061,15190
22:21:13,25405,25614,25635,25863,26408,25600,20504,19969,20841,20006,20682,20066,18213,18186,18311,18178,18368,17963,15779,16103,15668,15525,14907,15397
22:41:13,25496,25791,25871,26127,25981,25670,20709,20293,20469,20431,20640,20060,18404,18251,18688,18198,18436,18195,15744,16185,15945,15487,15226,15360
23:01:13,25479,25870,25709,26256,26151,26008,20984,20168,20709,20353,21010,20202,18448,18236,18459,18230,18425,18113,15791,16322,15906,15624,14978,15289
23:21:13,25742,25991,26024,26749,26445,26136,21175,20446,20947,20533,21021,20420,18641,18477,18611,18241,18647,18308,16082,16453,15953,15807,15187,15387
23:41:13,25846,26164,25949,26252,26412,26065,20795,20400,20936,20650,20921,20455,18708,18396,18808,18324,18720,18317,15909,16271,15874,15603,15160,15623
24:01:13,25850,26087,26259,26398,27056,26374,21231,20807,21028,20723,21234,20533,18687,18531,18781,18571,18763,18449,16190,16525,15922,15764,15068,15517
