Time,A0_1,A0_2,A0_3,A0_4,A0_5,A0_6,A10_1,A10_2,A10_3,A10_4,A10_5,A10_6,A100_1,A100_2,A100_3,A100_4,A100_5,A100_6,A1000_1,A1000_2,A1000_3,A1000_4,A1000_5,A1000_6
0:40:22,0.1,0.115,0.096,0.11,0.111,0.095,0.093,0.128,0.104,0.112,0.091,0.114,0.094,0.092,0.093,0.092,0.092,0.096,0.091,0.092,0.091,0.092,0.092,0.101
1:00:22,0.094,0.117,0.098,0.112,0.113,0.097,0.095,0.13,0.106,0.112,0.093,0.116,0.094,0.092,0.093,0.092,0.092,0.094,0.091,0.092,0.091,0.092,0.093,0.102
1:20:22,0.097,0.121,0.102,0.115,0.117,0.1,0.098,0.133,0.109,0.115,0.097,0.118,0.094,0.092,0.094,0.093,0.093,0.096,0.091,0.092,0.091,0.092,0.093,0.102
1:40:22,0.102,0.129,0.111,0.12,0.122,0.105,0.101,0.136,0.112,0.119,0.1,0.121,0.095,0.092,0.094,0.093,0.093,0.098,0.091,0.093,0.091,0.093,0.094,0.102
2:00:22,0.111,0.14,0.12,0.129,0.132,0.112,0.105,0.139,0.116,0.122,0.104,0.124,0.095,0.093,0.094,0.093,0.093,0.095,0.092,0.093,0.092,0.093,0.094,0.103
2:20:22,0.123,0.153,0.135,0.143,0.147,0.125,0.107,0.141,0.118,0.124,0.107,0.126,0.096,0.094,0.095,0.094,0.094,0.096,0.092,0.093,0.092,0.093,0.094,0.103
2:40:22,0.139,0.172,0.153,0.16,0.167,0.142,0.109,0.142,0.12,0.126,0.11,0.127,0.096,0.095,0.096,0.094,0.094,0.1,0.092,0.093,0.092,0.094,0.095,0.103
3:00:22,0.158,0.193,0.174,0.178,0.187,0.16,0.11,0.143,0.121,0.127,0.111,0.128,0.097,0.095,0.096,0.095,0.095,0.097,0.092,0.093,0.092,0.094,0.095,0.104
3:20:22,0.179,0.214,0.198,0.198,0.212,0.181,0.112,0.145,0.122,0.129,0.113,0.13,0.098,0.096,0.097,0.095,0.095,0.098,0.092,0.093,0.092,0.094,0.095,0.103
3:40:22,0.198,0.233,0.215,0.218,0.235,0.2,0.113,0.147,0.125,0.131,0.116,0.131,0.099,0.097,0.098,0.096,0.096,0.098,0.093,0.094,0.092,0.094,0.095,0.104
4:00:22,0.217,0.252,0.235,0.236,0.257,0.221,0.116,0.15,0.128,0.134,0.119,0.134,0.099,0.097,0.099,0.096,0.096,0.099,0.092,0.094,0.092,0.094,0.095,0.104
4:20:22,0.236,0.27,0.251,0.254,0.277,0.238,0.12,0.154,0.131,0.138,0.123,0.137,0.1,0.098,0.099,0.097,0.097,0.103,0.093,0.094,0.092,0.095,0.095,0.104
4:40:22,0.253,0.286,0.27,0.271,0.298,0.256,0.125,0.158,0.137,0.143,0.129,0.142,0.1,0.099,0.1,0.097,0.097,0.103,0.093,0.094,0.092,0.094,0.095,0.104
5:00:22,0.272,0.305,0.288,0.29,0.317,0.274,0.132,0.166,0.144,0.15,0.136,0.148,0.101,0.099,0.101,0.097,0.097,0.103,0.093,0.094,0.093,0.095,0.096,0.104
5:20:22,0.292,0.323,0.305,0.308,0.338,0.293,0.141,0.174,0.153,0.159,0.146,0.157,0.102,0.1,0.101,0.098,0.098,0.1,0.093,0.094,0.092,0.095,0.096,0.104
5:40:22,0.31,0.34,0.322,0.326,0.357,0.313,0.153,0.185,0.164,0.171,0.159,0.168,0.103,0.101,0.102,0.098,0.098,0.104,0.093,0.094,0.093,0.095,0.096,0.104
6:00:22,0.325,0.355,0.338,0.342,0.375,0.329,0.166,0.196,0.176,0.184,0.172,0.182,0.104,0.102,0.103,0.099,0.099,0.103,0.092,0.094,0.093,0.095,0.096,0.104
6:20:22,0.336,0.365,0.348,0.352,0.389,0.341,0.179,0.208,0.189,0.196,0.186,0.195,0.106,0.103,0.104,0.1,0.099,0.102,0.092,0.094,0.092,0.095,0.096,0.104
6:40:22,0.346,0.374,0.357,0.362,0.401,0.35,0.192,0.22,0.201,0.209,0.2,0.208,0.109,0.106,0.107,0.101,0.101,0.108,0.093,0.094,0.093,0.095,0.096,0.104
7:00:22,0.355,0.383,0.365,0.37,0.411,0.36,0.206,0.232,0.213,0.221,0.214,0.222,0.114,0.109,0.11,0.102,0.102,0.108,0.092,0.094,0.092,0.094,0.096,0.104
7:20:22,0.363,0.39,0.374,0.379,0.421,0.368,0.217,0.245,0.226,0.235,0.227,0.235,0.119,0.114,0.115,0.104,0.104,0.108,0.092,0.093,0.092,0.094,0.095,0.104
7:40:22,0.373,0.398,0.383,0.387,0.431,0.377,0.234,0.257,0.239,0.248,0.242,0.249,0.126,0.12,0.121,0.107,0.106,0.114,0.092,0.093,0.092,0.094,0.096,0.104
8:00:22,0.381,0.406,0.39,0.394,0.44,0.385,0.248,0.271,0.253,0.262,0.257,0.265,0.133,0.128,0.13,0.112,0.111,0.12,0.092,0.093,0.092,0.094,0.095,0.104
8:20:22,0.388,0.415,0.398,0.401,0.449,0.395,0.263,0.285,0.268,0.277,0.272,0.28,0.142,0.137,0.139,0.118,0.117,0.128,0.092,0.093,0.092,0.094,0.095,0.105
8:40:22,0.396,0.423,0.406,0.41,0.457,0.403,0.279,0.298,0.283,0.293,0.288,0.296,0.152,0.148,0.149,0.126,0.125,0.136,0.092,0.093,0.092,0.094,0.096,0.104
9:00:22,0.402,0.431,0.413,0.417,0.465,0.411,0.293,0.312,0.297,0.307,0.304,0.311,0.162,0.158,0.159,0.136,0.135,0.144,0.092,0.093,0.092,0.094,0.095,0.104
9:20:22,0.409,0.438,0.421,0.424,0.472,0.418,0.304,0.322,0.309,0.321,0.318,0.324,0.172,0.17,0.169,0.147,0.146,0.157,0.092,0.093,0.092,0.094,0.095,0.105
9:40:22,0.414,0.445,0.428,0.432,0.479,0.426,0.313,0.329,0.318,0.33,0.33,0.334,0.183,0.181,0.179,0.158,0.157,0.169,0.092,0.093,0.092,0.094,0.095,0.104
10:00:22,0.42,0.452,0.435,0.439,0.486,0.433,0.32,0.337,0.326,0.338,0.338,0.342,0.193,0.191,0.189,0.169,0.169,0.182,0.092,0.093,0.092,0.094,0.095,0.105
10:20:22,0.427,0.459,0.444,0.446,0.493,0.44,0.328,0.344,0.334,0.347,0.347,0.35,0.204,0.202,0.197,0.181,0.181,0.194,0.092,0.093,0.092,0.094,0.095,0.104
10:40:22,0.434,0.465,0.449,0.453,0.499,0.446,0.335,0.353,0.342,0.355,0.355,0.358,0.213,0.21,0.203,0.192,0.192,0.206,0.092,0.093,0.092,0.094,0.095,0.104
11:00:22,0.44,0.471,0.455,0.459,0.504,0.453,0.342,0.36,0.35,0.362,0.364,0.365,0.221,0.216,0.208,0.201,0.202,0.215,0.092,0.093,0.092,0.094,0.095,0.104
11:20:22,0.447,0.478,0.463,0.466,0.51,0.46,0.348,0.368,0.357,0.369,0.372,0.374,0.229,0.222,0.213,0.209,0.21,0.225,0.092,0.093,0.092,0.094,0.095,0.104
11:40:22,0.452,0.484,0.468,0.471,0.517,0.466,0.355,0.374,0.364,0.377,0.38,0.38,0.237,0.227,0.219,0.216,0.216,0.232,0.092,0.093,0.091,0.094,0.095,0.104
12:00:22,0.458,0.49,0.475,0.477,0.522,0.473,0.362,0.382,0.371,0.385,0.388,0.388,0.244,0.234,0.225,0.222,0.221,0.238,0.092,0.093,0.092,0.094,0.095,0.105
12:20:22,0.463,0.494,0.479,0.481,0.528,0.479,0.369,0.388,0.378,0.392,0.397,0.395,0.252,0.239,0.231,0.227,0.227,0.244,0.092,0.093,0.091,0.094,0.095,0.104
12:40:22,0.467,0.499,0.486,0.486,0.532,0.485,0.375,0.395,0.386,0.4,0.406,0.4,0.259,0.246,0.237,0.232,0.232,0.252,0.092,0.093,0.091,0.094,0.095,0.104
13:00:22,0.473,0.505,0.49,0.491,0.537,0.49,0.382,0.4,0.392,0.406,0.412,0.408,0.264,0.25,0.242,0.238,0.238,0.257,0.092,0.093,0.091,0.094,0.095,0.104
13:20:22,0.479,0.51,0.495,0.497,0.54,0.495,0.388,0.407,0.4,0.414,0.421,0.413,0.27,0.256,0.247,0.244,0.244,0.266,0.092,0.093,0.091,0.094,0.095,0.104
13:40:22,0.485,0.516,0.501,0.502,0.545,0.502,0.394,0.411,0.407,0.42,0.429,0.42,0.275,0.261,0.252,0.25,0.251,0.271,0.092,0.093,0.091,0.094,0.095,0.104
14:00:22,0.491,0.523,0.507,0.509,0.55,0.507,0.4,0.417,0.413,0.426,0.435,0.427,0.281,0.265,0.257,0.256,0.256,0.276,0.092,0.093,0.091,0.094,0.095,0.104
14:20:22,0.498,0.528,0.513,0.514,0.555,0.514,0.405,0.423,0.419,0.433,0.443,0.432,0.286,0.269,0.261,0.261,0.261,0.281,0.092,0.094,0.091,0.094,0.095,0.105
14:40:22,0.505,0.535,0.519,0.521,0.559,0.52,0.411,0.429,0.425,0.439,0.45,0.439,0.291,0.274,0.265,0.266,0.267,0.288,0.092,0.094,0.091,0.094,0.095,0.104
15:00:22,0.51,0.541,0.526,0.527,0.564,0.526,0.417,0.436,0.433,0.447,0.458,0.446,0.295,0.278,0.269,0.271,0.272,0.286,0.092,0.095,0.091,0.095,0.095,0.104
15:20:22,0.516,0.548,0.534,0.534,0.569,0.533,0.423,0.442,0.438,0.453,0.464,0.451,0.299,0.283,0.273,0.275,0.275,0.287,0.092,0.096,0.091,0.095,0.096,0.104
15:40:22,0.522,0.554,0.539,0.54,0.575,0.541,0.429,0.448,0.443,0.459,0.471,0.458,0.304,0.286,0.277,0.28,0.28,0.291,0.093,0.096,0.091,0.095,0.096,0.104
16:00:22,0.529,0.561,0.544,0.546,0.58,0.546,0.436,0.454,0.45,0.465,0.479,0.463,0.308,0.29,0.281,0.284,0.284,0.295,0.093,0.098,0.091,0.096,0.096,0.105
16:20:22,0.534,0.567,0.55,0.552,0.586,0.553,0.441,0.46,0.455,0.471,0.485,0.469,0.313,0.293,0.284,0.288,0.288,0.299,0.094,0.099,0.091,0.096,0.096,0.104
16:40:22,0.54,0.572,0.557,0.558,0.592,0.559,0.446,0.465,0.461,0.476,0.492,0.476,0.318,0.297,0.288,0.292,0.292,0.303,0.095,0.102,0.091,0.097,0.096,0.105
17:00:22,0.545,0.578,0.562,0.563,0.597,0.565,0.452,0.473,0.467,0.482,0.497,0.482,0.323,0.301,0.292,0.295,0.296,0.306,0.096,0.106,0.091,0.098,0.097,0.104
17:20:22,0.551,0.583,0.568,0.569,0.602,0.57,0.458,0.477,0.472,0.486,0.502,0.488,0.328,0.305,0.296,0.299,0.3,0.309,0.098,0.111,0.091,0.099,0.097,0.105
17:40:22,0.556,0.589,0.575,0.574,0.607,0.576,0.464,0.484,0.478,0.492,0.507,0.494,0.333,0.309,0.3,0.303,0.304,0.313,0.101,0.119,0.091,0.101,0.098,0.105
18:00:22,0.561,0.593,0.581,0.579,0.611,0.58,0.47,0.49,0.485,0.497,0.513,0.5,0.338,0.313,0.304,0.307,0.308,0.316,0.107,0.129,0.091,0.104,0.099,0.105
18:20:22,0.566,0.598,0.585,0.583,0.616,0.586,0.475,0.496,0.49,0.502,0.518,0.504,0.342,0.317,0.308,0.311,0.313,0.321,0.114,0.14,0.091,0.107,0.099,0.106
18:40:22,0.571,0.603,0.59,0.587,0.621,0.59,0.482,0.501,0.496,0.507,0.523,0.509,0.347,0.322,0.313,0.316,0.317,0.325,0.124,0.152,0.091,0.111,0.1,0.105
19:00:22,0.577,0.607,0.594,0.593,0.625,0.595,0.486,0.507,0.501,0.513,0.527,0.514,0.353,0.326,0.317,0.32,0.321,0.329,0.136,0.164,0.091,0.116,0.102,0.106
19:20:22,0.58,0.613,0.599,0.599,0.629,0.6,0.491,0.511,0.505,0.517,0.532,0.519,0.358,0.331,0.321,0.324,0.325,0.334,0.148,0.174,0.091,0.123,0.103,0.106
19:40:22,0.585,0.617,0.605,0.603,0.634,0.605,0.496,0.516,0.511,0.521,0.537,0.524,0.362,0.336,0.325,0.328,0.329,0.338,0.159,0.185,0.092,0.132,0.105,0.106
20:00:22,0.589,0.62,0.609,0.609,0.636,0.609,0.501,0.519,0.516,0.525,0.542,0.528,0.367,0.34,0.33,0.333,0.334,0.342,0.167,0.195,0.092,0.142,0.108,0.106
20:20:22,0.591,0.624,0.614,0.614,0.641,0.614,0.505,0.524,0.521,0.529,0.546,0.533,0.372,0.345,0.335,0.337,0.338,0.347,0.174,0.203,0.092,0.153,0.111,0.107
20:40:22,0.598,0.629,0.617,0.618,0.649,0.619,0.511,0.53,0.525,0.535,0.55,0.538,0.377,0.349,0.338,0.342,0.343,0.352,0.181,0.213,0.092,0.166,0.115,0.107
21:00:22,0.601,0.632,0.624,0.623,0.653,0.623,0.516,0.533,0.529,0.54,0.554,0.543,0.382,0.353,0.343,0.346,0.347,0.357,0.189,0.223,0.092,0.178,0.121,0.107
21:20:22,0.606,0.636,0.626,0.627,0.651,0.628,0.521,0.539,0.534,0.542,0.557,0.547,0.387,0.358,0.347,0.35,0.351,0.361,0.197,0.232,0.092,0.19,0.128,0.107
21:40:22,0.611,0.642,0.631,0.631,0.655,0.631,0.525,0.544,0.537,0.548,0.56,0.552,0.392,0.363,0.351,0.354,0.356,0.366,0.205,0.241,0.092,0.203,0.138,0.108
22:00:22,0.615,0.644,0.635,0.636,0.661,0.636,0.529,0.547,0.541,0.552,0.562,0.556,0.396,0.367,0.356,0.359,0.36,0.37,0.213,0.25,0.093,0.215,0.149,0.108
22:20:22,0.619,0.65,0.64,0.639,0.671,0.639,0.534,0.552,0.545,0.556,0.564,0.561,0.401,0.372,0.36,0.363,0.364,0.375,0.221,0.258,0.093,0.228,0.161,0.11
22:40:22,0.623,0.653,0.644,0.644,0.67,0.645,0.537,0.557,0.55,0.56,0.565,0.563,0.406,0.377,0.364,0.367,0.368,0.379,0.229,0.266,0.093,0.239,0.173,0.11
23:00:22,0.627,0.658,0.649,0.648,0.664,0.648,0.541,0.56,0.554,0.563,0.567,0.567,0.411,0.381,0.369,0.372,0.373,0.384,0.235,0.274,0.094,0.251,0.184,0.11
23:20:22,0.631,0.661,0.652,0.653,0.67,0.653,0.545,0.564,0.557,0.567,0.57,0.571,0.415,0.385,0.374,0.376,0.378,0.388,0.241,0.282,0.094,0.263,0.195,0.112
23:40:22,0.635,0.666,0.657,0.656,0.675,0.656,0.549,0.569,0.56,0.57,0.574,0.574,0.42,0.389,0.378,0.381,0.382,0.393,0.245,0.289,0.094,0.275,0.206,0.112
24:00:22,0.638,0.671,0.661,0.66,0.683,0.661,0.552,0.571,0.563,0.574,0.576,0.578,0.425,0.395,0.382,0.385,0.387,0.397,0.247,0.294,0.095,0.286,0.218,0.113
