Time,A0_1,A0_2,A0_3,A0_4,A0_5,A0_6,A10_1,A10_2,A10_3,A10_4,A10_5,A10_6,A100_1,A100_2,A100_3,A100_4,A100_5,A100_6,A1000_1,A1000_2,A1000_3,A1000_4,A1000_5,A1000_6
0:42:22,4998,5183,5170,5031,4883,5034,5076,5034,5124,4981,5004,4801,5119,5042,5180,5135,5250,5040,4689,4734,4677,4699,4573,4711
1:02:22,5129,5163,5229,5074,5015,4996,5162,4985,5036,5073,5037,4916,5125,4994,5225,5154,5183,5067,4709,4766,4750,4770,4499,4687
1:22:22,5170,5184,5267,5075,5093,5158,5211,5061,5205,5014,5048,5024,4957,5098,5164,5109,5089,5098,4664,4740,4804,4687,4528,4654
1:42:22,5305,5318,5415,5332,5217,5244,5363,5272,5240,5298,5168,5025,5067,5035,5211,5164,5166,4999,4750,4836,4794,4677,4536,4647
2:02:22,5560,5620,5624,5563,5536,5442,5405,5304,5410,5163,5280,5101,5154,5173,5220,5008,5057,5047,4762,4696,4885,4703,4676,4639
2:22:22,5775,5764,5812,5779,5754,5514,5515,5350,5517,5323,5444,5198,5103,5131,5173,5198,5170,5076,4844,4768,4826,4680,4683,4715
2:42:22,5901,5977,6081,5909,5912,5964,5638,5435,5488,5352,5472,5329,5159,5171,5176,5145,5175,5084,4769,4946,4883,4666,4639,4635
3:02:22,6154,6061,6268,6167,6167,6134,5586,5422,5398,5336,5663,5169,5080,5097,5203,5132,5269,5101,4803,4857,4803,4750,4558,4725
3:22:22,6450,6383,6532,6473,6415,6374,5461,5443,5438,5481,5500,5188,5131,5052,5220,5164,5183,5106,4765,4803,4817,4779,4623,4693
3:42:22,6709,6787,6784,6844,6680,6557,5561,5460,5564,5316,5504,5159,5156,5090,5170,5136,5216,5017,4783,4804,4869,4793,4676,4638
4:02:22,7096,7098,7109,7034,7021,6890,5603,5553,5509,5398,5463,5258,5086,5136,5287,5179,5295,5137,4723,4827,4908,4739,4675,4626
4:22:22,7393,7261,7512,7529,7274,7234,5626,5471,5494,5329,5583,5215,5110,5131,5271,5260,5226,5121,4858,4699,4890,4756,4693,4794
4:42:22,7805,7690,7803,7818,7698,7449,5567,5523,5521,5495,5503,5179,5136,5132,5275,5239,5155,5165,4796,4894,4912,4737,4745,4699
5:02:22,8007,8087,8131,7998,7940,7807,5597,5428,5500,5460,5554,5237,5039,5151,5248,5160,5248,5049,4823,4926,4870,4813,4690,4620
5:22:22,8300,8397,8431,8456,8259,8219,5490,5402,5506,5393,5498,5289,5193,5116,5305,5194,5247,5166,4814,4872,4837,4738,4696,4763
5:42:22,8767,8623,8734,8707,8630,8527,5590,5473,5562,5299,5389,5290,5264,5177,5181,5144,5202,5155,4799,4938,4831,4757,4680,4870
6:02:22,9104,8926,9119,8999,9069,8899,5476,5378,5476,5461,5442,5156,5154,5142,5261,5160,5203,5200,4908,4918,4908,4886,4685,4755
6:22:22,9502,9335,9495,9426,9263,9168,5436,5376,5431,5368,5466,5229,5051,5232,5309,5172,5243,5113,4903,4857,4859,4830,4713,4716
6:42:22,9745,9595,9797,9599,9595,9302,5478,5280,5409,5349,5451,5215,5216,5178,5210,5360,5272,5191,4787,4949,4926,4854,4698,4901
7:02:22,9904,9867,9906,10056,9943,9804,5486,5339,5405,5290,5401,5061,5145,5207,5279,5247,5199,5177,4858,5089,4927,4776,4712,4734
7:22:22,10000,10196,10166,10216,10368,9984,5418,5313,5445,5293,5368,5142,5232,5112,5214,5276,5217,5091,4889,4905,4905,4745,4741,4768
7:42:22,10479,10380,10368,10597,10467,10343,5428,5318,5524,5291,5354,5098,5211,5205,5300,5236,5347,5155,4857,4982,4923,4839,4629,4794
8:02:22,10822,10652,10624,10720,10824,10446,5448,5235,5429,5279,5451,5068,5146,5126,5314,5310,5312,5094,4913,4943,4859,4819,4730,4850
8:22:22,11034,10696,10694,10944,11116,10866,5533,5354,5457,5304,5305,5154,5255,5236,5239,5162,5218,5158,4910,4963,5023,4773,4702,4819
8:42:22,11066,10901,10949,11252,11252,11078,5437,5347,5487,5327,5406,5060,5216,5204,5186,5238,5234,5121,4914,4955,4903,4886,4735,4805
9:02:22,11000,11176,11028,11381,11427,11112,5526,5416,5424,5400,5476,5137,5209,5148,5275,5214,5264,5192,4855,5038,5015,4806,4781,4796
9:22:22,11228,11257,11269,11466,11578,11288,5534,5414,5531,5402,5506,5397,5100,5077,5355,5177,5216,5124,4916,5013,4902,4854,4830,4829
9:42:22,11246,11288,11322,11525,11800,11456,5645,5424,5543,5449,5546,5324,5119,5095,5260,5222,5174,5205,4898,4987,4985,4877,4783,4781
10:02:22,11291,11399,11397,11715,11825,11590,5557,5516,5686,5465,5604,5381,5186,5243,5249,5117,5175,5140,4987,4989,4937,4879,4745,4761
10:22:22,11299,11291,11339,11631,11714,11442,5679,5535,5606,5513,5648,5234,5270,5211,5317,5262,5275,5100,4903,4941,5009,4797,4764,4815
10:42:22,11172,11415,11414,11579,11938,11379,5765,5752,5787,5539,5682,5334,5224,5250,5310,5150,5266,5158,4963,5074,4983,4819,4735,4826
11:02:22,11369,11395,11325,11747,11853,11547,5817,5655,5712,5577,5811,5438,5374,5254,5375,5212,5208,5257,4971,4880,5049,4877,4729,4965
11:22:22,11372,11619,11480,11860,12107,11599,5788,5729,5871,5657,5808,5542,5334,5194,5332,5236,5295,5188,4972,5082,5003,4902,4717,4801
11:42:22,11646,11544,11602,12008,12145,11810,5894,5789,5784,5733,5804,5623,5308,5336,5353,5275,5325,5163,5026,5024,4992,4899,4767,4842
