Replicate	Channel	M9	K1	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19
rep1	CFP	75864	97089	102897	108797	109635	104067	108339	116194	119582	122755	119757	105464	96819	88840	89676	87690	84471	76654	75706	67980
rep2	CFP	99675	101077	101136	94176	112698	114894	108547	113457	115358	117795	118358	108793	100114	88003	89552	84545	81042	78109	76457	69189
rep3	CFP	107621	102200	110051	104594	104579	109616	109672	111357	116378	114610	120278	107196	102301	90512	88915	89010	90296	74809	71780	68083
rep4	CFP	74350	109720	112072	104596	107624	115973	112156	114916	121103	117264	118848	102785	97881	93982	94036	90041	80932	76228	83002	69352
rep1	OD630	0.589	1.096	0.865	1.15	1.031	1.002	1.066	0.899	0.933	1.075	1.048	0.838	0.845	0.695	0.559	0.557	0.532	0.305	0.265	0.117
rep2	OD630	0.962	0.824	0.9	0.833	0.803	0.929	0.916	0.939	0.959	1.054	1.031	0.94	0.79	0.635	0.519	0.47	0.209	0.177	0.142	0.101
rep3	OD630	1.19	0.978	0.819	0.81	0.812	0.761	0.696	0.705	0.87	0.973	1.069	0.825	0.843	0.729	0.454	0.443	0.419	0.108	0.087	0.123
rep4	OD630	0.821	0.919	1.063	0.895	0.923	0.933	0.886	0.944	1.034	0.852	1.076	0.895	0.823	0.72	0.632	0.513	0.35	0.382	0.448	0.205
rep1	YFP	31828	49078	44606	56554	58150	52745	55659	7934	7789	7453	7467	6715	6152	5783	6123	5942	5735	5567	5379	5113
rep2	YFP	42593	44905	41205	37574	7742	7733	7624	7699	7311	7294	7261	6752	6632	5850	6304	5775	5832	5468	5418	5073
rep3	YFP	58682	51255	47724	7404	8305	8005	7887	7505	7306	7282	7277	6934	6486	5813	6045	6121	5940	5377	5314	5087
rep4	YFP	33429	52815	49820	7747	11100	9231	7743	7497	7568	7406	7310	6509	6192	6064	6502	6201	6033	5498	5688	5148
