Replicate	Channel	M9	K1	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19
rep1	CFP	77836	79457	81154	71004	74655	69358	57692	73586	74229	69171	69422	64269	59927	60270	62921	70443	65655	65362	63642	66340
rep2	CFP	75766	74211	59462	59253	57641	63582	69308	65632	65491	63687	65371	64295	70220	61152	63498	70954	62975	68447	69425	66580
rep3	CFP	75268	67697	68164	68792	75939	67100	70120	61368	64074	68715	65898	60839	61268	57890	64047	62718	62962	57743	56579	65100
rep4	CFP	52313	65688	69362	58475	60429	62190	55449	56061	62161	68825	97310	59408	68941	59795	62940	70799	75363	62740	61471	66480
rep1	OD630	1.137	1.306	0.331	0.325	0.257	1.223	0.295	0.045	0.043	0.043	0.042	0.044	0.045	0.045	0.043	0.044	0.043	0.044	0.044	0.05
rep2	OD630	1.115	1.016	1.077	0.925	0.748	0.094	0.77	0.124	0.042	0.044	0.043	0.043	0.065	0.056	0.046	0.045	0.044	0.047	0.042	0.05
rep3	OD630	1.039	1.21	0.831	0.301	0.894	0.979	0.054	0.204	0.047	0.044	0.047	0.044	0.048	0.042	0.044	0.044	0.044	0.046	0.045	0.049
rep4	OD630	0.819	1.023	0.845	0.858	0.18	0.125	0.604	0.628	0.045	0.043	0.736	0.044	0.044	0.042	0.044	0.044	0.043	0.044	0.044	0.046
rep1	YFP	118669	125241	29346	28920	26127	110041	23477	6242	5997	5682	5611	5174	4862	4799	5278	5733	5419	5333	4965	5138
rep2	YFP	84659	86518	89738	75936	60126	13700	68889	22671	5516	5335	5367	5236	5613	4976	5310	5646	5116	5616	5561	5235
rep3	YFP	83456	105428	66652	28307	71688	71950	7900	20623	5932	5678	5332	5113	5195	4707	5275	5175	5280	5037	4731	5193
rep4	YFP	76373	83999	71026	67606	22238	16836	49874	50925	5631	5726	5731	4882	5625	4877	5231	5855	6011	5241	4957	5426
