Replicate	Channel	M9	K1	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19
rep1	CFP	103815	107406	113338	108176	111756	109969	103421	107693	107434	116510	111076	106046	102961	88150	89696	85601	81113	84462	76010	73799
rep2	CFP	135737	132782	109425	104400	108247	108400	108378	111114	112890	117652	105371	109508	94303	89029	82965	86736	76951	74503	75136	76592
rep3	CFP	117204	111226	110567	105544	106672	107335	109132	109752	105861	112814	112436	105806	100407	88310	90928	86769	80005	79971	75455	69209
rep4	CFP	119002	110890	112036	112301	110445	111047	107098	106862	107575	105629	111372	107478	96306	88350	92694	90716	78814	72871	73265	67426
rep1	OD630	0.713	0.608	1.006	0.824	0.821	0.789	0.74	0.748	0.717	1.079	0.824	0.89	0.806	0.725	0.516	0.488	0.405	0.514	0.178	0.259
rep2	OD630	1.15	0.983	1.002	0.737	0.816	0.847	0.802	0.914	0.799	0.925	0.772	1.002	0.71	0.727	0.415	0.394	0.224	0.456	0.237	0.259
rep3	OD630	0.811	0.972	0.867	0.878	0.837	0.702	0.736	0.794	0.669	0.927	0.933	0.823	0.736	0.689	0.588	0.464	0.377	0.456	0.163	0.175
rep4	OD630	0.975	0.868	0.837	0.872	0.759	0.763	0.593	0.776	0.725	0.672	0.881	0.802	0.718	0.586	0.527	0.507	0.323	0.368	0.337	0.137
rep1	YFP	6449	7036	7215	7299	7402	7280	7182	7356	7209	7314	6981	6608	6502	5549	6140	5905	6133	6288	5229	5221
rep2	YFP	7558	7331	7156	6808	7025	7219	6994	7164	7185	7370	7123	6647	6187	5711	5984	6032	6133	5746	5637	5322
rep3	YFP	7143	6962	7132	7308	7253	6939	6951	6984	6836	7145	7097	6668	6648	5767	6318	6109	5901	5783	5443	4945
rep4	YFP	6785	7069	7432	7345	7362	7444	7114	6966	7032	6895	7063	6915	6453	5943	6496	6127	6046	5557	5162	4881
